name,voteCount,rating,address,cusine,cost,timing,Location,City,Days_Open
Peter Cat,12404,4.2,"18A, Park Street, Park Street Area, Kolkata","North Indian, Continental","1,000",11am – 11:20pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Naturals Ice Cream,2498,4.9,"77/1/A, Ground Floor, Near West Bengal Board, Park Street Area, Kolkata","North Indian, Continental",200,11am – 12midnight (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Carpe Diem,4083,4.4,"18M, Park Street Area, Kolkata",Ice Cream,"1,000","12noon – 12midnight (Mon, Tue, Wed, Thu, Fri...",Park Street Area,Kolkata,Mon-Sun
Barbeque Nation,5455,4.6,"1st Floor, 24, Park Center Building, Park Street Area, Kolkata",Ice Cream,"1,800","12noon – 3:30pm, 6:30pm – 10:45pm (Mon-Sun)",Park Street Area,Kolkata,Mon-Sun
Flurys,4709,4.2,"15, Apeejay House, Park Street Area, Kolkata","Chinese, North Indian, Continental",400,7:30am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
KFC,2135,4.1,"20K, Park Street, Park Street Area, Kolkata","Chinese, North Indian, Continental",450,11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Tung Fong,3644,4.3,"25 B, Ground Floor, Karnani Mansion, Free School Street, Park Street Area, Kolkata","North Indian, Chinese, Kebab, BBQ","1,000","12noon – 4pm, 6pm – 11pm (Mon-Sun)",Park Street Area,Kolkata,Mon-Sun
Arsalan,1500,4.0,"119 A, Muzaffar Ahmed Street, Mirza Ghalib Street Crossing, Park Street Area, Kolkata","North Indian, Chinese, Kebab, BBQ","1,000",11am – 11:45pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Kusum Rolls,1973,4.1,"21, Karnani Mansion, Park Street Area, Kolkata","Bakery, Desserts, Sandwich",300,12noon – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Kareem's,1027,4.3,"55 B, Mirza Ghalib Street, Park Street Area, Kolkata","Bakery, Desserts, Sandwich","1,200","12:30pm – 4:30pm, 6:30pm – 11:30pm (Mon-Sun)",Park Street Area,Kolkata,Mon-Sun
WOW! China,53,3.8,"19-57, Park Street Area, Kolkata","Fast Food, Burger",650,12noon – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Golden Spoon,1000,3.6,"1, Middleton Row, Near Loreto House, Park Street Area, Kolkata","Fast Food, Burger",600,12noon – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
BarBQ,8321,4.3,"43-47-55, Park Street Area, Kolkata","Chinese, Asian","1,200",12noon – 11:15pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
The Kebab Factory,Cuisines:,0.0,"33, Royd Street, Park Street Area, Kolkata","Chinese, Asian",350,11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Patisserie By Franziska,Cuisines:,-1.0,"13C, Russell Street, Opposite Bengal Club, Park Street Area, Kolkata","Mughlai, North Indian, Rolls, Biryani",450,-1,Park Street Area,Kolkata,Mon-Sun
The Sixth Sense,92,4.0,"25B, Karnani Mansion, Opposite Westside, Park Street Area, Kolkata","Mughlai, North Indian, Rolls, Biryani","1,500","12noon – 12midnight (Mon-Thu),12noon – 2am...",Park Street Area,Kolkata,Mon-Thu
Food King,23,3.3,"90/1, Ground Floor, Muzaffar Ahmed Street, Ward 62, BR-4, Park Street Area, Kolkata",Rolls,300,12noon – 11:30pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Burgrill,888,4.2,"12B/2, Park Street Park, Opposite Oxford Book Store, Park Street Area, Kolkata",Rolls,500,11am – 2am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Zainab Biryani,Cuisines:,0.0,"19, Alimuddin Street, Park Street Area, Kolkata","Biryani, North Indian, Mughlai",400,11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
The Crepe Cafe,81,4.4,"6/1A, Middleton Street, Park Street Area, Kolkata","Biryani, North Indian, Mughlai",800,10:30am – 10:30pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Waffle Wallah,979,4.2,"18 G, Stephen Court, Park Street Area, Kolkata","Chinese, Burmese",450,8am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Shiraz Golden Restaurant,2552,4.0,"135, Park Street Area, Kolkata","Chinese, Burmese",600,12noon – 11:30pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Moulin Rouge,1019,3.8,"31, Park Street Area, Kolkata","North Indian, Chinese, Mughlai",700,12noon – 11:30pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Pizza Hut,66,3.7,"20 K, Sir William Jones Sarani, Park Street Area, Kolkata","North Indian, Chinese, Mughlai",600,11am – 1am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
NFC Food Funda,71,3.9,"48, AJC Bose Road, Near Mother Teresa House, Park Street Area, Kolkata","Chinese, North Indian, Asian",200,12:30pm – 12midnight (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
1000 BC,341,3.9,"Ground Floor, 1, Camac Street, Park Street Area, Kolkata","Chinese, North Indian, Asian","1,000",12noon – 2am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Eaterniaa,505,4.1,"111, Ripon Street, Near Ripon Street Police Museum, Park Street Area, Kolkata",Kebab,500,11:30am – 12midnight (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Barista,45,3.5,"57, Park Street, Park Street Area, Kolkata",Kebab,600,8am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Hot Kati Roll,816,3.8,"1B, Park Estate, Park Street Area, Kolkata","Bakery, Desserts",200,11am – 10pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
One Step Up,1770,4.1,"18A, Park Street, Park Street Area, Kolkata","Bakery, Desserts","1,000",12noon – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Domino's Pizza,99,3.9,"31, Ward 63, Chowringhee Road, Shakespeare Sarani, Park Street Area, Kolkata","Continental, Chinese, North Indian",400,11am – 3am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Aqua - The Park,801,4.0,"The Park, 17, Park Street Area, Kolkata","Continental, Chinese, North Indian","3,000",-1,Park Street Area,Kolkata,Mon-Sun
Roll It Out,80,3.9,"2, Middle Row, Park Street Area, Kolkata","Chinese, Fast Food",350,"11am – 1am (Mon),11am – 3am (Tue-Sun)",Park Street Area,Kolkata,Mon
Paradise Biryani,Cuisines:,0.0,"Shop 30 D, Ground Floor, Building Chowringhee Mansion, Jawaharlal Nehru Road, Park Street Area, Kolkata","Chinese, Fast Food",800,11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Nawab Dum Biryani,21,3.3,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","Fast Food, Burger, Healthy Food",500,11am – 4am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
The Bridge - The Park,676,4.0,"The Park, 17, Park Street, Park Street Area, Kolkata","Fast Food, Burger, Healthy Food","3,000",12noon – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Koshe Kosha,640,4.0,"1/1C, Ripon Street, Muzzafar Ahmed Street, Near Free School Street, Park Street Area, Kolkata","Biryani, Mughlai",700,11am – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
The GT Route - Jameson Inn Shiraz,167,3.9,"56, Park Street Area, Kolkata","Biryani, Mughlai",850,"12noon – 4pm, 7:30pm – 11:30pm (Mon-Sun)",Park Street Area,Kolkata,Mon-Sun
Aurum Club & Kitchen,577,4.1,"1/1, Camac Street, Opposite Allen Park, Park Street Area, Kolkata",Cafe,"1,000",1pm – 2am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Sienna Store & Cafe,Cuisines:,-1.0,"24, 1st Floor, Development House, Park Street Area, Kolkata",Cafe,900,-1,Park Street Area,Kolkata,Mon-Sun
Trincas,1465,4.1,"17, Park Street Area, Kolkata","Desserts, Bakery, Beverages","1,500",11:30am – 11:30pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Zen - The Park,366,4.1,"The Park, 17, Park Street Area, Kolkata","Desserts, Bakery, Beverages","4,000",-1,Park Street Area,Kolkata,Mon-Sun
Lost in Taste,23,3.2,"115, Muzaffar Ahmed Street Adjacent, Park Street Area, Kolkata","Biryani, North Indian, Mughlai, Kebab, Rolls",500,12noon – 3am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
WOW! Momo,66,3.9,"1, Ho Chi Minh Sarani, Opposite to Central, Park Street Area, Kolkata","Biryani, North Indian, Mughlai, Kebab, Rolls",350,10:30am – 10pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Midnight Bites,866,3.7,"35/1, AJC Bose Road, Near Mercy Hospital, Park Street Area, Kolkata","North Indian, Finger Food, Chinese",400,6pm – 4am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
SpiceKlub,1137,4.2,"1st Floor, 24, Park Street, Annex Building, Magma House Complex, Park Street Area, Kolkata","North Indian, Finger Food, Chinese","2,100","12noon – 3:30pm, 6:30pm – 11:30pm (Mon-Sun)",Park Street Area,Kolkata,Mon-Sun
Saffron - The Park,355,4.1,"The Park, 17, Park Street Area, Kolkata","Pizza, Desserts, Fast Food","1,900",-1,Park Street Area,Kolkata,Mon-Sun
Best of Gupta's,78,3.6,"53C, Mirza Galib Street, New Market Area, Kolkata","Pizza, Desserts, Fast Food",800,11am – 11pm (Mon-Sun),New Market Area,Kolkata,Mon-Sun
Grill & Shakes,34,3.5,"94, Ripon Street, Park Street Area, Kolkata",Fast Food,350,12noon – 12midnight (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Leafy Affaire The Cafe,85,3.9,"10 B, Sir William Jones, Sarani, Park Street Area, Kolkata",Fast Food,500,8am – 9pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Oasis,918,3.8,"33, Park Street, Park Street Area, Kolkata","North Indian, Mexican, Italian, Continental, Chinese",900,11am – 11:30pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
The Food King,6,3.1,"94A, Ground Floor, Ripon Street, Park Street Area, Kolkata","North Indian, Mexican, Italian, Continental, Chinese",250,12noon – 11:30pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Kung Pao,159,4.4,"57 A, Park Street Area, Kolkata","Pizza, Chinese, Italian, Burger, Fast Food",800,12:30pm – 4:30am (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Waldorf,504,3.5,"13D, Park Street Area, Kolkata","Pizza, Chinese, Italian, Burger, Fast Food","1,000",12noon – 11pm (Mon-Sun),Park Street Area,Kolkata,Mon-Sun
Golden Dragon,1287,3.9,"40A, 57, Park Mansion, Park Street Area, Kolkata","Coffee, Beverages, Tea, Fast Food, Desserts",600,"Closed (Mon),12noon – 10:45pm (Tue-Sun)",Park Street Area,Kolkata,Mon
